title,cpe_version,part,vendor,product,version,cve_update,edition,language,sw_edition,target_sw,target_hw,other
OpenMage Magento 1.7.0.2 LTS,2.3,a,openmage,magento,1.7.0.2,*,*,*,lts,*,*,*
Unity3d Unity Editor 2019.1.9,2.3,a,unity3d,unity_editor,2019.1.9,*,*,*,*,*,*,*
Huawei Honor 6 Firmware H60-L21,2.3,o,huawei,honor_6_firmware,h60-l21,*,*,*,*,*,*,*
Gitphp Project Gitphp 0.2.4,2.3,a,gitphp_project,gitphp,0.2.4,*,*,*,*,*,*,*
OpenVAS Manager 1.0.0 Beta1,2.3,a,openvas,openvas_manager,1.0.0,beta1,*,*,*,*,*,*
Django Project Django 4.2.10,2.3,a,djangoproject,django,4.2.10,*,*,*,*,*,*,*
Octopus Tentacle 3.23.2,2.3,a,octopus,tentacle,3.23.2,*,*,*,*,*,*,*
Netty 4.1.49,2.3,a,netty,netty,4.1.49,*,*,*,*,*,*,*
Suricata-IDS Suricata 1.3 Beta 2,2.3,a,suricata-ids,suricata,1.3,b2,*,*,*,*,*,*
Factorio 0.17.14,2.3,a,factorio,factorio,0.17.14,*,*,*,*,*,*,*
ACF Extended Advanced Custom Fields:Extended for WordPress,2.3,a,acf-extended,advanced_custom_fields\,extended,-,*,*,*,-,wordpress,*
Craft CMS 3.4.12,2.3,a,craftcms,craft_cms,3.4.12,*,*,*,*,*,*,*
Otfcc Project Otfcc 0.7.0,2.3,a,otfcc_project,otfcc,0.7.0,*,*,*,*,*,*,*
Intel Xeon Gold 6448Y,2.3,h,intel,xeon_gold_6448y,-,*,*,*,*,*,*,*
PHPUnit Project PHPUnit 7.4.4,2.3,a,phpunit_project,phpunit,7.4.4,*,*,*,*,-,*,*
